# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_3_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2252998156
# output
#   file = stan/ukeu_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,grand_mu,grand_sigma,kappa_pollster.1,kappa_pollster.2,kappa_pollster.3,kappa_pollster.4,kappa_pollster.5,kappa_pollster.6,kappa_pollster.7,kappa_pollster.8,kappa_pollster.9,kappa_pollster.10,kappa_pollster.11,kappa_pollster.12,kappa_pollster.13,kappa_pollster.14,kappa_pollster.15,kappa_teleph
# Adaptation terminated
# Step size = 0.0395551
# Diagonal elements of inverse mass matrix:
# 0.156827, 4.09737e-05, 0.170366, 0.163559, 0.157127, 0.161299, 0.202636, 0.16611, 0.156285, 0.208777, 0.185146, 0.167696, 0.169172, 0.159134, 0.168103, 0.160686, 0.167572, 0.00661041
-182394,0.975088,0.0395551,8,255,0,-0.0792363,5.55202,-0.562599,-0.0265951,0.068528,-0.0591406,0.530579,0.297982,0.0825092,-0.316441,-0.0375003,0.206127,0.334731,0.0405159,0.51929,0.237931,0.336178,0.250592
-182396,0.97903,0.0395551,7,95,0,0.0136177,5.52253,-0.722951,-0.044389,-0.0349449,-0.215883,0.586899,0.546138,-0.00214408,-0.124296,-0.403695,0.134055,0.589964,-0.0560325,0.441051,0.152142,0.195196,0.202433
-182393,0.924011,0.0395551,6,47,0,-0.00615758,5.49821,-0.688105,-0.0590163,-0.0341759,-0.147334,-0.053699,0.44767,0.033398,-0.0733278,-0.247247,0.0761658,0.20802,0.0109529,0.35413,0.112983,0.173124,0.289084
-182399,0.882432,0.0395551,8,191,0,0.540195,5.57739,-1.33272,-0.641207,-0.635837,-0.670333,-0.872093,-0.219394,-0.499272,-0.647297,-0.649219,-0.385064,-0.311535,-0.522877,-0.304795,-0.460505,-0.439832,0.370919
-182397,0.986873,0.0395551,6,63,0,0.53897,5.53356,-0.990118,-0.61803,-0.556055,-0.605616,-0.824721,-0.0861233,-0.577908,-0.934839,-0.895784,-0.663722,-0.13663,-0.565,-0.188815,-0.412785,-0.454951,0.34369
-182400,0.805524,0.0395551,5,31,0,0.535247,5.53307,-0.908782,-0.504707,-0.644591,-0.598781,-0.784912,-0.119814,-0.516118,-1.05927,-0.929557,-0.513485,-0.183387,-0.594947,-0.174697,-0.366649,-0.459154,0.338393
-182397,0.969425,0.0395551,5,31,0,0.550192,5.52846,-1.29265,-0.660626,-0.607608,-0.742317,-0.802808,-0.206424,-0.516144,-0.922643,-0.840058,-0.477066,-0.259906,-0.409182,-0.250342,-0.429843,-0.373456,0.333327
-182398,0.994531,0.0395551,7,95,0,0.709697,5.48424,-1.15086,-0.721922,-0.787328,-0.879408,-0.552574,-0.286318,-0.689241,-0.83622,-0.836746,-0.616557,-0.443355,-0.565667,-0.441685,-0.664052,-0.498674,0.334691
-182395,0.990074,0.0395551,7,127,0,0.882454,5.58146,-1.5509,-0.965619,-0.932153,-0.975259,-0.544573,-0.576455,-0.853242,-0.926708,-0.968921,-0.76514,-0.494248,-0.900119,-0.380683,-0.687514,-0.568448,0.250892
-182398,0.753935,0.0395551,7,127,0,0.616767,5.49007,-1.0983,-0.792118,-0.724716,-0.680992,-0.423076,-0.189475,-0.608737,-0.645065,-0.87854,-0.635402,-0.325518,-0.634765,-0.397958,-0.492641,-0.433207,0.39272
-182402,0.70131,0.0395551,6,63,0,0.690096,5.56835,-1.23443,-0.632822,-0.709642,-0.656404,-0.745283,-0.385059,-0.710761,-1.45153,-0.804213,-0.754654,-0.499125,-0.661262,-0.46117,-0.62167,-0.827125,0.464836
-182397,0.852497,0.0395551,7,79,0,0.811946,5.4938,-1.46973,-0.936893,-0.888452,-0.87116,-0.500054,-0.581966,-0.805605,-0.694262,-1.00601,-0.735069,-0.327456,-0.833934,-0.453758,-0.626908,-0.436237,0.249002
-182395,0.977534,0.0395551,6,47,0,0.758919,5.52356,-1.31161,-0.88539,-0.804774,-0.789202,-0.689364,-0.303996,-0.758338,-1.32192,-0.961653,-0.632434,-0.361404,-0.812789,-0.296991,-0.58273,-0.566292,0.278953
-182397,0.949741,0.0395551,4,15,0,0.716513,5.53877,-1.41791,-0.727484,-0.762708,-0.941374,-0.553132,-0.24971,-0.704294,-1.15103,-1.01927,-0.751566,-0.242441,-0.633794,-0.410053,-0.516452,-0.432674,0.281371
-182398,0.948183,0.0395551,5,31,0,0.68117,5.52478,-1.20311,-0.655686,-0.758585,-0.786649,-0.151947,-0.466187,-0.678805,-0.890705,-0.79208,-0.74286,-0.328722,-0.758804,-0.453462,-0.478783,-0.436273,0.339805
