# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2174266419
# output
#   file = stan/ukeu_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3
# Adaptation terminated
# Step size = 0.209009
# Diagonal elements of inverse mass matrix:
# 0.00819347, 0.00832727, 0.00910791
352.103,0.982638,0.209009,2,3,0,23.8851,22.8347,7.1919
352.142,0.965226,0.209009,2,3,0,23.9636,22.803,7.07219
352.099,0.98579,0.209009,4,15,0,24.308,22.9335,7.20942
351.585,0.980707,0.209009,4,15,0,22.3998,21.7892,6.71945
351.484,0.86904,0.209009,4,15,0,24.9566,24.4069,7.33442
348.834,0.750287,0.209009,2,3,0,24.288,24.6877,7.19565
350.691,1,0.209009,1,1,0,24.3128,24.1802,7.18847
347.985,0.840367,0.209009,2,3,0,25.8875,22.9513,7.15712
349.917,1,0.209009,2,3,0,23.1265,22.9658,7.40477
351.169,1,0.209009,2,3,0,23.6053,22.7558,7.4055
351.984,0.853266,0.209009,2,3,0,24.722,23.2386,7.37742
351.919,0.988647,0.209009,4,15,0,23.9964,23.2053,7.0534
350.964,0.933554,0.209009,5,19,0,21.3384,20.4032,6.24272
351.49,0.867745,0.209009,3,7,0,22.3165,21.0154,6.73007
352.157,0.983033,0.209009,4,15,0,24.2152,23.0013,7.14335
352.138,0.905997,0.209009,4,11,0,24.6908,23.6129,7.39677
351.784,0.912021,0.209009,2,3,0,24.8346,23.9693,7.21658
351.387,0.970463,0.209009,3,7,0,24.9633,23.2769,7.07903
346.717,0.788335,0.209009,3,7,0,26.1034,25.7011,7.05096
350.966,1,0.209009,3,5,0,26.6141,24.4957,7.66835
351.031,0.974295,0.209009,2,3,0,25.8476,24.993,8.02932
